'hood.n.01	(slang) a neighborhood
convene.v.01	meet formally
convener.n.01	the member of a group whose duty it is to convene meetings
convenience.n.02	the quality of being useful and convenient
convenience_food.n.01	any packaged dish or food that can be prepared quickly and easily as by thawing or heating
convenient.a.01	suited to your comfort or purpose or needs
convent.n.01	a religious residence especially for nuns
convention.n.02	something regarded as a normative example
convention.n.03	(diplomacy) an international agreement
convention.n.05	the act of convening
conventional.a.01	following accepted customs and proprieties
conventionality.n.03	orthodoxy as a consequence of being conventional
conventionalization.n.01	the act of conventionalizing; conforming to a conventional style
conventionalize.v.01	make conventional or adapt to conventions
converge.v.01	be adjacent or come together
converge.v.02	approach a limit as the number of terms increases without limit
converge.v.03	move or draw together at a certain location
converge.v.04	come together so as to form a single product
convergence.n.01	the occurrence of two or more things coming together
convergence.n.04	the act of converging (coming closer)
convergent.a.01	tending to come together from different directions
convergent_thinking.n.01	thinking that brings together information focussed on solving a problem (especially solving problems that have a single correct solution)
conversation.n.01	the use of speech for informal exchange of views or ideas or information etc.
conversationalist.n.01	someone skilled at conversation
converse.v.01	carry on a conversation
conversion.n.01	an event that results in a transformation
conversion.n.02	a change in the units or form of an expression: "conversion from Fahrenheit to Centigrade"
conversion.n.05	(psychiatry) a defense mechanism represses emotional conflicts which are then converted into physical symptoms that have no organic basis
conversion.n.06	a change of religion
conversion.n.08	act of exchanging one type of money or security for another
conversion.n.09	the act of changing from one use or function or purpose to another
conversion_disorder.n.01	a mental disorder characterized by the conversion of mental conflict into somatic forms (into paralysis or anesthesia having no apparent cause)
convert.n.01	a person who has been converted to another religious or political belief
convert.v.01	change from one system to another or to a new plan or policy
convert.v.02	change the nature, purpose, or function of something
convert.v.05	cause to adopt a new or different faith
convert.v.06	score an extra point or points after touchdown by kicking the ball through the uprights or advancing the ball into the end zone
convert.v.08	score (a spare)
convert.v.11	change in nature, purpose, or function; undergo a chemical change
converter.n.01	a device for changing one substance or form or state into another
convertibility.n.01	the quality of being exchangeable (especially the ability to convert a currency into gold or other currencies without restriction)
convertible.a.01	capable of being exchanged for or replaced by something of equal value
convertible.n.03	a sofa that can be converted into a bed
convex.a.01	curving or bulging outward
convex_shape.n.01	a shape that curves or bulges outward
convexity.n.01	the property possessed by a convex shape
convey.v.01	make known; pass on, of information
convey.v.03	transfer to another
convey.v.04	transmit a title or property
conveyance.n.01	document effecting a property transfer
conveyance.n.02	the transmission of information
conveyance.n.03	something that serves as a means of transportation
conveyance.n.04	act of transferring property title from one person to another
conveyancer.n.01	a lawyer who specializes in the business of conveying properties
conveyer.n.01	a person who conveys (carries or transmits)
conveyer_belt.n.01	a moving belt that transports objects (as in a factory)
convict.n.01	a person serving a sentence in a jail or prison
convict.v.01	find or declare guilty
conviction.n.02	(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed
convocation.n.02	the act of convoking
convoke.v.01	call together
convolve.v.01	curl, wind, or twist together
convolvulaceae.n.01	morning glory; bindweed; sweet potato; plants having trumpet-shaped flowers and a climbing or twining habit
convulse.v.03	move or stir about violently
convulse.v.05	cause to contract
convulse.v.06	contract involuntarily, as in a spasm
convulsion.n.02	violent uncontrollable contractions of muscles
convulsion.n.03	a violent disturbance
conyza.n.01	common American weed or wildflower
cook.n.01	someone who cooks food
cook.v.01	prepare a hot meal
cook.v.02	prepare for eating by applying heat
cook.v.03	transform and make suitable for consumption by heating
cooker.n.01	a utensil for cooking
cookie.n.01	any of various small flat sweet cakes (`biscuit' is the British term)
cookie_sheet.n.01	a cooking utensil consisting of a flat rectangular metal sheet used for baking cookies or biscuits
cooking.n.01	the act of preparing something (as food) by the application of heat
cooking_utensil.n.01	a kitchen utensil made of material that does not melt easily; used for cooking
cookout.n.01	an informal meal cooked and eaten outdoors
cookstove.n.01	a stove for cooking (especially a wood- or coal-burning kitchen stove)
